Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply;Energy_supply
Coal, peat and oil shale;Crude, NGL and feedstocks;Electricity;Heat;Natural gas;Nuclear;Oil products;Renewables and waste;Total
146;363;30;0;321;0;120;400;1380
136;365;10;0;307;0;108;450;1376
139;370;26;0;296;0;117;446;1393
128;370;33;0;271;0;101;439;1342
136;376;36;0;289;0;99;438;1373
126;363;26;0;303;0;119;451;1389
130;354;24;0;326;0;130;451;1414
115;384;32;0;308;0;105;432;1376
117;402;11;0;321;0;100;446;1398
99;345;8;0;306;0;102;455;1316
425;1293;-2;0;197;0;-254;0;1661
445;1560;-2;0;249;0;-434;1;1819
468;1595;-3;0;299;1;-436;1;1926
521;1293;-1;0;350;2;-277;2;1889
394;1251;-3;0;346;74;-292;1;1772
424;1248;-12;0;366;109;-237;1;1900
407;1562;-5;0;360;130;-568;3;1889
439;1445;-10;0;357;137;-382;4;1988
476;1448;-4;0;390;124;-386;4;2052
477;1432;-9;0;373;137;-455;3;1958
464;1250;1;0;344;140;-381;4;1823
448;1065;1;0;287;171;-239;4;1737
411;986;-1;0;298;263;-248;6;1715
459;991;1;0;308;303;-278;6;1789
434;869;0;0;309;377;-151;8;1847
388;1118;-1;0;278;430;-309;10;1913
395;1138;-8;0;306;458;-346;10;1954
406;1104;-8;0;302;470;-307;10;1978
432;1140;-9;0;336;450;-370;18;1997
442;1131;-13;0;342;466;-396;33;2005
421;1269;-7;0;366;468;-455;34;2095
385;1244;0;0;379;474;-397;36;2121
356;1198;8;0;394;457;-378;33;2068
376;1203;14;0;405;443;-279;33;2196
363;1117;15;0;444;451;-196;39;2233
346;1343;15;0;495;473;-359;38;2351
334;1387;12;0;472;517;-402;38;2359
338;1450;5;0;522;504;-459;41;2401
296;1353;3;0;558;535;-387;44;2402
336;1432;16;0;560;525;-483;45;2431
311;1400;33;0;552;506;-438;52;2414
269;1415;27;0;560;517;-503;50;2335
252;1514;23;0;603;517;-532;60;2437
246;1469;28;0;610;516;-488;64;2445
217;1361;23;3;617;519;-378;69;2432
207;1357;37;3;631;509;-423;82;2402
185;1387;24;3;627;526;-489;93;2355
191;1400;38;3;621;497;-430;107;2427
131;1260;-7;1;631;515;-328;125;2328
159;1307;2;8;701;523;-339;153;2513
147;1208;9;6;603;526;-315;154;2339
135;1269;36;8;602;440;-418;170;2243
151;1175;35;10;606;465;-282;177;2337
142;1369;63;10;529;368;-449;171;2203
142;1343;76;9;584;285;-424;182;2197
134;1310;22;11;596;475;-413;192;2327
130;1394;22;11;609;461;-507;197;2317
131;1351;62;10;629;312;-465;201;2231
130;1411;-7;10;636;475;-564;206;2298
102;1098;-2;7;634;376;-330;226;2111
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
..;..;..;..;..;..;..;..;..
405;2568;96;0;143;24;-101;2745;5880
463;2520;97;0;140;16;-7;2762;5991
448;2589;86;0;151;19;6;2755;6054
461;2616;99;0;165;5;68;2792;6206
473;2681;114;0;171;1;159;2934;6533
497;2698;127;0;183;27;316;2908;6757
512;2939;132;0;205;26;353;2949;7116
515;3099;146;0;228;35;402;3055;7479
503;3345;142;0;239;36;309;3086;7660
511;3447;144;3;269;43;267;3157;7841
545;3504;160;3;350;66;192;3058;7878
536;3627;136;4;442;156;126;2991;8020
519;3576;132;3;548;151;73;3235;8237
539;3567;134;4;564;146;-86;3506;8374
564;3772;135;4;695;127;-181;3728;8844
544;3784;141;7;740;108;-134;3880;9068
537;3830;148;6;774;150;-112;4051;9385
569;3921;140;16;786;135;-38;4388;9915
575;3966;152;5;938;152;47;4638;10472
460;3988;144;5;752;141;10;4621;10121
606;4011;125;3;1018;158;379;4901;11201
647;4082;129;5;1012;171;462;4831;11339
640;4248;145;2;1204;175;559;4812;11787
690;4536;145;3;1419;169;497;4874;12332
734;4682;122;3;1565;168;515;4931;12719
740;4432;124;3;1557;161;391;5053;12461
667;4099;147;3;1320;173;472;5123;12005
703;3936;131;4;1399;172;692;5202;12239
687;3843;126;4;1319;171;494;5421;12066
648;3843;90;4;1333;176;548;5613;12255
588;3966;89;2;1258;153;169;5755;11980
665;2862;-13;0;1305;47;149;904;5918
689;3151;-31;0;1467;79;59;972;6385
639;3452;-51;0;1561;170;-128;1028;6672
622;3610;-47;0;1547;169;-214;1082;6771
671;3681;-27;0;1597;145;-108;989;6948
703;3677;-33;0;1614;198;-27;1031;7161
736;3854;-62;0;1682;292;-181;1060;7382
753;3861;-70;0;1707;357;-158;1137;7587
829;4121;-107;0;1828;409;-290;1177;7967
861;3975;-98;0;1908;435;-269;1224;8037
905;3733;-122;0;1813;467;-208;1263;7851
950;3210;-113;0;1842;462;-37;1230;7544
1016;3055;-130;0;1822;567;-105;1290;7516
1119;3147;-141;0;1954;606;-149;1364;7901
1083;3030;-145;0;2089;684;-108;1448;8081
1001;3098;-122;0;2009;806;-61;1489;8220
1074;3295;-158;0;2042;870;-143;1513;8493
1153;3323;-100;0;2245;917;-173;1481;8846
1158;3450;-34;0;2352;893;-133;1409;9095
1016;3467;-1;0;2292;812;-263;1524;8846
1059;3301;-66;0;2320;947;-301;1564;8824
1100;3281;-90;0;2444;892;-191;1597;9032
1007;3460;-99;0;2594;1032;-288;1626;9332
